target,track,fold,k_star,features
sdq_cond,reg,21,8,uaY_max;jerk_min;jerk_max;stl_bout_median_w1_p80;act_bout_median_w2_p30;stl_bout_median_w2_p80;stl_bout_cv_w5_p80;stl_bout_cv_w10_p70
sdq_cond,reg,22,4,uaY_max;jerk_min;jerk_max;stl_bout_cv_w10_p70
sdq_cond,reg,23,5,uaY_max;jerk_min;jerk_max;act_bout_median_w2_p30;stl_bout_cv_w10_p70
sdq_peer,reg,0,20,uaX_median;uaX_zcr;uaX_centroid;gyY_mean;gyY_median;gyZ_mean;roll_domfreq;yaw_std;jerk_spread;jerk_bp_lf;act_bout_median_w1_p90;act_bout_median_w2_p70;frac_act_short_w5_p10;stl_bout_median_w5_p90;stl_bout_cv_w10_p10;act_bout_median_w10_p50;frac_act_short_w10_p60;switch_per_min_w10_p80;stl_bout_median_w10_p80;actbout_med_p60
sdq_peer,reg,1,20,uaX_median;uaX_zcr;uaX_centroid;gyY_mean;gyY_median;gyZ_mean;pitch_bp_lf;roll_zcr;roll_bp_lf;yaw_std;jerk_spread;gyMag_permen_m3;stl_bout_cv_w10_p10;act_bout_median_w10_p50;switch_per_min_w10_p60;act_bout_median_w10_p60;frac_act_short_w10_p60;switch_per_min_w10_p70;frac_act_short_w10_p70;switch_per_min_w10_p80
sdq_peer,reg,2,19,uaX_median;uaX_zcr;gyY_mean;gyY_median;gyZ_mean;roll_domfreq;yaw_std;jerk_spread;jerk_bp_lf;act_bout_cv_w0.5_p40;act_bout_median_w1_p90;act_bout_median_w2_p70;frac_act_short_w5_p10;stl_bout_median_w5_p90;stl_bout_cv_w10_p10;act_bout_median_w10_p50;frac_act_short_w10_p60;switch_per_min_w10_p80;actbout_med_p60
sdq_peer,reg,3,1,gyZ_mean
sdq_peer,reg,4,17,uaX_median;uaX_zcr;gyY_mean;gyY_median;gyZ_mean;yaw_std;jerk_min;jerk_spread;jerk_entropy;jerk_bp_lf;jerk_lz_c;act_bout_median_w1_p90;act_bout_median_w2_p70;stl_bout_median_w5_p90;stl_bout_cv_w10_p10;act_bout_median_w10_p50;stl_bout_median_w10_p80
sdq_peer,reg,5,9,uaX_mean;uaX_zcr;gyY_mean;gyY_median;gyZ_mean;yaw_std;jerk_spread;stl_bout_cv_w10_p10;act_bout_median_w10_p50
sdq_peer,reg,6,9,uaX_zcr;gyY_mean;gyY_median;gyZ_mean;roll_domfreq;yaw_std;jerk_spread;stl_bout_cv_w10_p10;act_bout_median_w10_p50
sdq_peer,reg,7,18,uaX_zcr;gyY_mean;gyY_median;gyZ_mean;roll_domfreq;yaw_std;yaw_madiff;jerk_spread;act_bout_median_w1_p90;act_bout_median_w2_p20;act_bout_median_w2_p70;frac_act_short_w5_p10;stl_bout_median_w5_p90;stl_bout_cv_w10_p10;act_bout_median_w10_p50;frac_act_short_w10_p60;switch_per_min_w10_p80;actbout_med_p60
sdq_peer,reg,8,20,uaX_median;uaX_zcr;gyY_mean;gyY_median;gyZ_mean;roll_domfreq;yaw_std;jerk_spread;uaMag_hurst_rs;act_bout_cv_w0.5_p40;frac_act_short_w1_p70;act_bout_median_w1_p90;act_bout_median_w2_p70;frac_act_short_w5_p10;stl_bout_median_w5_p90;stl_bout_cv_w10_p10;act_bout_median_w10_p50;act_bout_median_w10_p60;frac_act_short_w10_p60;stl_bout_median_w10_p80
sdq_peer,reg,9,11,uaX_median;uaX_zcr;gyY_mean;gyY_median;gyZ_mean;roll_domfreq;yaw_std;jerk_spread;act_bout_median_w1_p90;stl_bout_cv_w10_p10;act_bout_median_w10_p50
sdq_peer,reg,10,19,uaX_median;uaX_zcr;gyY_mean;gyY_median;gyZ_mean;gyZ_median;roll_domfreq;yaw_std;yaw_kurt;jerk_spread;act_bout_median_w1_p90;act_bout_median_w2_p70;stl_bout_cv_w5_p80;stl_bout_median_w5_p90;stl_bout_cv_w10_p10;act_bout_median_w10_p50;frac_act_short_w10_p60;stl_bout_cv_w10_p70;actbout_med_p60
