target,type,feature,rho,perm_p,loo_r2cv,loo_rmse,loo_mae,rho_partial_uamag,q_fdr
sdq_totdiff,cont,uaZ_mad,-0.13457344028776067,0.52835,-0.07138344668518748,3.434140228881406,2.6591757177327175,,0.9752624000000002
sdq_totdiff,cont,uaZ_skew,-0.3469883803498143,0.09743999999999997,0.01580929555912436,3.291434283794131,2.4440125017884586,,0.9752624000000002
sdq_totdiff,cont,uaZ_kurt,0.1068671437579276,0.61615,-0.03232431159583893,3.3709602908462633,2.6531251633849338,,0.9752624000000002
sdq_totdiff,cont,uaZ_zcr,-0.017151516899420478,0.93503,-0.10968172232736051,3.4949806485403454,2.727244756157798,,0.985218064516129
sdq_totdiff,cont,uaZ_madiff,-0.2643092732449156,0.21179000000000003,0.0030453410898250155,3.3127088096497546,2.6567569303774383,,0.9752624000000002
sdq_totdiff,cont,uaZ_domfreq,-0.07345964615277319,0.72963,-0.14654303528284696,3.552554419099789,2.786433725223246,,0.985218064516129
sdq_totdiff,cont,uaZ_centroid,0.17063560402500372,0.42321,-0.04969612235124976,3.3992049889082545,2.6376025883954646,,0.9752624000000002
sdq_totdiff,cont,uaZ_spread,0.027266514045232556,0.8971,-0.07731398261784594,3.4436317820366296,2.7144602525820734,,0.985218064516129
sdq_totdiff,cont,uaZ_entropy,0.05849107045186983,0.78322,-0.16864566193585806,3.5866333686983265,2.766989996063012,,0.985218064516129
sdq_totdiff,cont,uaZ_bp_lf,0.07916084722809451,0.70948,-0.06294573185166219,3.420590657650588,2.7717354467844175,,0.9803723636363636
sdq_totdiff,cont,uaZ_bp_mf,0.03386325131424043,0.87276,-0.09164999944201169,3.46646858289556,2.7116418316600943,,0.985218064516129
sdq_totdiff,cont,uaZ_bp_hf,-0.010994562115013127,0.95785,-0.07267908468511486,3.4362160768068017,2.7017402636571366,,0.9854023688663283
sdq_totdiff,cont,uaMag_mean,-0.24495884392249248,0.24797999999999998,-0.01860756839289124,3.34849001625282,2.626414652369843,,0.9752624000000002
sdq_totdiff,cont,uaMag_std,-0.2207708072694636,0.29896,-0.010343880378876014,3.334879658314081,2.6741164034813067,,0.9752624000000002
sdq_totdiff,cont,uaMag_var,-0.2207708072694636,0.29896,-0.007199728122557314,3.329686604818742,2.683223837380979,,0.9752624000000002
sdq_totdiff,cont,uaMag_rms,-0.22033102478486308,0.30004,-0.0017029045705128087,3.3205882405612535,2.640900272765854,,0.9752624000000002
sdq_totdiff,cont,uaMag_min,0.1244584431419486,0.5607,-0.09212032242330093,3.467215243580008,2.805445899254,,0.9752624000000002
sdq_totdiff,cont,uaMag_max,-0.3034499143743623,0.14991,0.027527169002442453,3.271781538046344,2.633093206157263,,0.9752624000000002
sdq_totdiff,cont,uaMag_range,-0.3034499143743623,0.14991,0.02753167982954874,3.271773949938229,2.633097541882578,,0.9752624000000002
sdq_totdiff,cont,uaMag_median,-0.15348408712558326,0.47280999999999995,-0.062394267352396504,3.4197032280375836,2.644334744328788,,0.9752624000000002
sdq_totdiff,cont,uaMag_iqr,-0.18294951359381842,0.39017,-0.036650913905221794,3.378016966090447,2.6911842670501183,,0.9752624000000002
sdq_totdiff,cont,uaMag_mad,-0.22340950217706673,0.29308,-0.03936770736846196,3.382440523372477,2.6572036769130283,,0.9752624000000002
sdq_totdiff,cont,uaMag_skew,-0.08004041219729556,0.70665,-0.07896780990651275,3.446273996033748,2.7247213582541097,,0.9803723636363636
sdq_totdiff,cont,uaMag_kurt,-0.12665735556495122,0.55342,-0.11627947296234886,3.505355171609573,2.7642396117569796,,0.9752624000000002
sdq_totdiff,cont,uaMag_zcr,-0.16447864924059638,0.44097,-0.09569678034175211,3.4728877934043023,2.702099930419043,,0.9752624000000002
sdq_totdiff,cont,uaMag_madiff,-0.2669479681525187,0.20740000000000003,0.00261520384141245,3.313423368620315,2.6296520594213537,,0.9752624000000002
sdq_totdiff,cont,uaMag_domfreq,-0.0840167210489801,0.69294,-0.03136587924839995,3.369395091038597,2.689305223698503,,0.9803723636363636
sdq_totdiff,cont,uaMag_centroid,0.13985083010296698,0.5124,-0.06241588676301535,3.4197380228376093,2.709103705192342,,0.9752624000000002
sdq_totdiff,cont,uaMag_spread,0.23088580441527567,0.27715,-0.055800919850860886,3.409075166398386,2.695803180881724,,0.9752624000000002
sdq_totdiff,cont,uaMag_entropy,0.0013193474538015753,0.99444,-0.1469424786392064,3.5531732012316875,2.745436883565283,,0.99592
sdq_totdiff,cont,uaMag_bp_lf,-0.1297358329571549,0.5434300000000001,-0.10997877774736131,3.495448410355565,2.6976173719356757,,0.9752624000000002
sdq_totdiff,cont,uaMag_bp_mf,0.23924167162268564,0.25976,-0.027811532241120096,3.363584187509673,2.6958661899708223,,0.9752624000000002
sdq_totdiff,cont,uaMag_bp_hf,0.09499301667371342,0.65462,-0.07127358284414709,3.4339641492947646,2.705885138799309,,0.979684705882353
sdq_totdiff,cont,gyX_mean,0.12225953071894598,0.5674,-0.07922998403879711,3.446692668864842,2.691049464400928,,0.9752624000000002
sdq_totdiff,cont,gyX_std,-0.45297595913854083,0.02739999999999998,-0.15071943883605132,3.559018814134266,2.829689488267469,,0.9752624000000002
sdq_totdiff,cont,gyX_var,-0.45297595913854083,0.02739999999999998,-0.3718057616684287,3.8859022376723766,2.9574816145873672,,0.9752624000000002
sdq_totdiff,cont,gyX_rms,-0.45297595913854083,0.02739999999999998,-0.15042759950280282,3.558567475821037,2.8295482304640664,,0.9752624000000002
sdq_totdiff,cont,gyX_min,0.32851751599659224,0.11695999999999995,0.040060683968818456,3.2506293231759074,2.800860616748075,,0.9752624000000002
sdq_totdiff,cont,gyX_max,-0.04969542075985933,0.8152,-0.14240270297080926,3.5461342245285135,2.8172360500592717,,0.985218064516129
sdq_totdiff,cont,gyX_range,-0.2154934174542573,0.31104,-0.05238150946365039,3.4035502229642165,2.761733860389801,,0.9752624000000002
